checkpoint_path,dataset_id,env,model,difficulty,episode_rewards_mean,episode_rewards_std
checkpoints/BC/BC-G1JoystickFlatTerrain-e2ce8ce9,playground/G1JoystickFlatTerrain-medium-v0,G1JoystickFlatTerrain,BC,medium,8.620101928710938,4.00244665145874
checkpoints/BC/BC-G1JoystickRoughTerrain-45142010,playground/G1JoystickRoughTerrain-medium-v0,G1JoystickRoughTerrain,BC,medium,-2.8267838954925537,0.1442121863365173
checkpoints/TD3-BC/TD3-BC-Go1Footstand-6b9692ea,playground/Go1Footstand-expert-v0,Go1Footstand,TD3-BC,expert,0.4730060994625091,2.9802322387695312e-08
checkpoints/TD3-BC/TD3-BC-G1JoystickFlatTerrain-87027f14,playground/G1JoystickFlatTerrain-expert-v0,G1JoystickFlatTerrain,TD3-BC,expert,-5.337914943695068,0.0060270600952208
checkpoints/TD3-BC/TD3-BC-G1JoystickFlatTerrain-ef1e3e7b,playground/G1JoystickFlatTerrain-medium-v0,G1JoystickFlatTerrain,TD3-BC,medium,-5.713028907775879,0.05409836769104
checkpoints/TD3-BC/TD3-BC-Go1Footstand-e5f116e6,playground/Go1Footstand-medium-v0,Go1Footstand,TD3-BC,medium,0.4102602005004883,0.0
checkpoints/TD3-BC/TD3-BC-H1InplaceGaitTracking-e3d2cae6,playground/H1InplaceGaitTracking-medium-v0,H1InplaceGaitTracking,TD3-BC,medium,12.215359687805176,9.5367431640625e-07
checkpoints/TD3-BC/TD3-BC-Go1Handstand-d0bffe6c,playground/Go1Handstand-expert-v0,Go1Handstand,TD3-BC,expert,0.2032938450574875,1.4901161193847656e-08
checkpoints/TD3-BC/TD3-BC-Go1Handstand-f9c654aa,playground/Go1Handstand-medium-v0,Go1Handstand,TD3-BC,medium,0.2556051909923553,0.0021423955913633
checkpoints/TD3-BC/TD3-BC-Go1Footstand-ab9bfef8,playground/Go1Footstand-medium-v0,Go1Footstand,TD3-BC,medium,0.4075540900230407,2.9802322387695312e-08
checkpoints/TD3-BC/TD3-BC-H1InplaceGaitTracking-07750d31,playground/H1InplaceGaitTracking-expert-v0,H1InplaceGaitTracking,TD3-BC,expert,0.0962530523538589,7.450580596923828e-09
checkpoints/TD3-BC/TD3-BC-G1JoystickFlatTerrain-4eff0e70,playground/G1JoystickFlatTerrain-medium-v0,G1JoystickFlatTerrain,TD3-BC,medium,-6.512121677398682,0.0217476356774568
checkpoints/TD3-BC/TD3-BC-H1JoystickGaitTracking-1ae6082b,playground/H1JoystickGaitTracking-medium-v0,H1JoystickGaitTracking,TD3-BC,medium,0.1331236064434051,1.4901161193847656e-08
checkpoints/TD3-BC/TD3-BC-H1JoystickGaitTracking-7289c9cd,playground/H1JoystickGaitTracking-expert-v0,H1JoystickGaitTracking,TD3-BC,expert,0.1243670955300331,7.450580596923828e-09
checkpoints/TD3-BC/TD3-BC-G1JoystickFlatTerrain-7c771c8e,playground/G1JoystickFlatTerrain-expert-v0,G1JoystickFlatTerrain,TD3-BC,expert,-5.372005462646484,0.0
checkpoints/SACN/SAC-N-Go1JoystickRoughTerrain-2fb578c8,playground/Go1JoystickRoughTerrain-expert-v0,Go1JoystickRoughTerrain,SAC-N,expert,0.07857073098421097,0.002474175300449133
checkpoints/SACN/SAC-N-Go1JoystickFlatTerrain-dc3d4057,playground/Go1JoystickFlatTerrain-expert-v0,Go1JoystickFlatTerrain,SAC-N,expert,0.009085196070373058,9.313225746154785e-10
checkpoints/SACN/SAC-N-Go1Handstand-da1901fd,playground/Go1Handstand-medium-v0,Go1Handstand,SAC-N,medium,0.08458633720874786,7.450580596923828e-09
checkpoints/SACN/SAC-N-Go1JoystickRoughTerrain-383780a2,playground/Go1JoystickRoughTerrain-medium-v0,Go1JoystickRoughTerrain,SAC-N,medium,0.0,0.0
checkpoints/SACN/SAC-N-Go1Handstand-5de026aa,playground/Go1Handstand-expert-v0,Go1Handstand,SAC-N,expert,0.0873357504606247,7.450580596923828e-09
checkpoints/SACN/SAC-N-Go1JoystickFlatTerrain-4d90c3c5,playground/Go1JoystickFlatTerrain-medium-v0,Go1JoystickFlatTerrain,SAC-N,medium,0.41540470719337463,2.9802322387695312e-08
checkpoints/TD3-BC/TD3-BC-Go1JoystickRoughTerrain-a60dc300,playground/Go1JoystickRoughTerrain-expert-v0,Go1JoystickRoughTerrain,TD3-BC,expert,29.859603881835938,0.08155684918165207
checkpoints/TD3-BC/TD3-BC-Go1JoystickRoughTerrain-deb73468,playground/Go1JoystickRoughTerrain-medium-v0,Go1JoystickRoughTerrain,TD3-BC,medium,0.0,0.0
